ESTOQUE DE DÍVIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Valores em R$ 1,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISCRIMINAÇÃO de credores;ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;;;;;;;;;;;;;;
3.2.1.3 - Com aval do TN após 30/09/91;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;866.826.008,86;0,00;;;;;;;;;;;;;;
3.2.2 - Mobiliária Externa;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4 - Flutuante;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.1 - Empreiteiros;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.2 - Fornecedores;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.3 - Autofinanciamentos;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.4 - Folha de Pagamentos;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.5 - AROs;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.6 - INSS;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.7 - FGTS;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.8 - PIS/PASEP e Inst. de Pensão;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.9 - Precatórios;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
4.10 - Outras;2008;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
TOTAL ADM. INDIRETA;2008;95.363.213,47;0,00;9.630.964,56;0,00;0,00;590.741.407,74;222.587.458,81;13.989.074,18;76.804.970,00;0,00;0,00;0,00;113.989.017,83;186.339.019,45;0,00;779.134.584,96;0,00;562.392.216,09;82.078.550,16;6.687.257,10;222.941.301,44;55.620.386,19;0,00;0,00;0,00;1.148.236.583,32;0,00;;;;;;;;;;;;;;
Dívida Financeira;2008;993.359.864,63;6.943.804.519,64;2.225.403.444,90;237.369.500,28;10.686.292.532,52;4.210.201.163,16;2.035.652.500,79;3.304.431.849,02;13.344.688.187,19;5.659.049.338,63;55.992.613.595,16;6.599.581.530,11;5.388.441.680,29;2.860.413.536,53;2.189.290.660,77;5.004.445.937,14;2.236.334.989,32;15.349.432.610,75;52.826.795.131,97;1.350.407.001,47;2.098.798.233,83;578.180.185,83;38.110.668.301,40;12.033.646.496,61;1.613.064.391,16;154.678.046.475,89;733.782.612,60;;;;;;;;;;;;;;
RLR;2008;1.916.995.406,48;3.168.941.946,85;5.736.300.646,47;1.884.148.455,19;12.184.048.805,28;7.168.929.420,37;9.033.739.512,32;6.838.880.551,16;6.510.108.801,16;5.468.078.895,21;23.834.192.795,36;3.964.127.312,81;5.049.950.889,41;7.118.521.465,37;3.753.879.362,93;8.081.186.805,33;3.258.667.601,52;11.646.706.482,39;22.807.477.281,92;4.154.695.307,21;2.884.103.035,03;1.341.150.725,15;13.538.324.087,24;8.095.997.659,98;3.679.465.847,71;65.532.376.905,11;3.235.972.843,65;;;;;;;;;;;;;;
RLR corrigida;2008;1.973.177.046,19;3.258.544.662,42;5.890.550.973,21;1.936.847.339,38;12.537.707.534,15;7.372.349.995,34;9.297.086.906,06;7.022.838.291,23;6.684.082.698,46;5.620.407.296,89;24.581.176.486,81;4.073.570.715,47;5.185.972.150,14;7.312.676.727,60;3.864.788.233,57;8.309.916.930,76;3.350.855.795,77;11.979.771.053,21;23.417.797.959,62;4.275.659.970,41;2.964.565.740,73;1.380.900.060,94;13.926.441.057,94;8.314.923.797,43;3.785.153.051,66;67.480.122.646,43;3.326.974.403,11;;;;;;;;;;;;;;
Dívida Financeira/RLR;2008;0,52;2,19;0,39;0,13;0,88;0,59;0,23;0,48;2,05;1,03;2,35;1,66;1,07;0,40;0,58;0,62;0,69;1,32;2,32;0,33;0,73;0,43;2,82;1,49;0,44;2,36;0,23;;;;;;;;;;;;;;
Dívida Financeira/RLR corrigida;2008;0,50;2,13;0,38;0,12;0,85;0,57;0,22;0,47;2,00;1,01;2,28;1,62;1,04;0,39;0,57;0,60;0,67;1,28;2,26;0,32;0,71;0,42;2,74;1,45;0,43;2,29;0,22;;;;;;;;;;;;;;
DÍVITA TOTAL (Adm. Direta e Indireta);2009;1.333.884.474,97;6.834.760.776,26;2.778.228.819,24;500.503.680,15;9.664.688.878,13;4.847.723.953,80;2.114.877.342,75;3.186.027.530,54;12.661.736.410,87;5.334.673.104,50;56.405.910.779,31;6.203.825.566,73;4.803.557.980,68;2.766.355.356,90;2.058.480.331,30;5.361.516.936,03;2.815.206.865,78;14.724.971.543,98;52.530.974.391,13;1.421.633.472,16;1.959.683.944,39;721.865.265,18;36.946.765.318,78;11.240.862.961,35;1.615.097.441,15;152.985.647.914,24;811.334.773,34;;;;;;;;;;;;;;
1 - DÍVIDA FUNDADA - Adm. Direta;2009;1.238.879.527,21;6.834.760.776,26;2.770.004.161,52;406.721.717,15;9.664.688.878,13;3.209.838.232,61;1.893.736.583,75;3.175.487.635,84;12.588.897.886,87;5.334.673.104,50;56.405.910.779,31;6.203.825.566,73;4.660.585.005,41;2.623.219.597,88;2.058.480.331,30;4.636.082.861,98;2.364.743.882,26;14.220.742.231,49;51.518.164.119,41;1.333.126.502,93;1.754.908.576,68;677.196.125,23;36.946.765.318,78;11.240.862.961,35;1.615.097.441,15;152.256.175.688,38;776.458.132,13;;;;;;;;;;;;;;
1.1 -   Fundada Interna;2009;1.129.609.433,21;6.624.965.764,76;2.383.324.718,57;397.815.091,00;7.623.261.683,37;2.056.809.232,61;1.521.213.646,75;2.930.884.563,30;12.505.173.940,87;5.255.703.604,50;54.558.905.221,02;6.127.964.295,29;4.639.867.884,04;2.330.245.696,89;2.014.734.585,30;4.161.828.803,90;2.289.310.893,82;13.392.027.167,46;50.196.829.154,27;1.275.081.572,43;1.728.246.451,68;677.196.125,23;35.285.949.958,75;10.897.783.899,96;1.573.924.132,40;149.554.931.125,23;349.734.739,14;;;;;;;;;;;;;;
1.1.1 - Contratual;2009;1.129.609.433,21;6.512.765.291,83;2.383.324.718,57;397.815.091,00;7.623.261.683,37;2.056.809.232,61;1.521.213.646,75;2.930.884.563,30;12.505.173.940,87;5.255.703.604,50;54.558.905.221,02;6.127.964.295,29;4.639.867.884,04;2.330.245.696,89;2.014.734.585,30;4.161.828.803,90;2.289.310.893,82;13.392.027.167,46;50.196.829.154,27;1.275.081.572,43;1.728.246.451,68;677.196.125,23;35.285.949.958,75;10.897.783.899,96;1.573.924.132,40;149.554.931.125,23;349.734.739,14;;;;;;;;;;;;;;
1.1.1.1 - União;2009;1.129.609.433,21;6.512.765.291,83;2.383.324.718,57;283.704.912,00;7.623.261.683,37;2.056.809.232,61;1.521.213.646,75;2.684.703.784,86;12.505.173.940,87;5.137.196.614,50;50.226.150.456,54;6.127.964.295,29;4.638.980.044,54;2.327.743.292,73;2.014.734.585,30;4.161.828.803,90;2.289.310.893,82;10.791.284.910,88;50.196.829.154,27;1.275.081.572,43;1.692.219.695,79;669.245.822,00;35.285.949.958,75;10.897.783.899,96;1.533.178.990,57;149.554.931.125,23;349.734.739,14;;;;;;;;;;;;;;
1.1.1.1.1 - BIB;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7.805.660,67;11.123.623,81;0,00;0,00;0,00;0,00;0,00;5.048.468,75;10.858.311.922,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.2 - BEA;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.3 - Clube de Paris;2009;0,00;0,00;0,00;0,00;296.110,61;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.4 - DMLP;2009;0,00;17.819.193,57;185.387.183,72;0,00;254.774.040,77;56.961.023,71;0,00;24.664.556,39;350.239.527,98;229.040.476,17;362.406.688,45;192.783.713,04;250.264.534,80;108.658.148,71;149.028.878,45;73.000.160,75;118.405.974,82;153.275.954,37;46.953.790,32;31.138.105,47;0,00;0,00;104.897.183,41;37.150.799,15;19.216.273,56;685.746.497,60;0,00;;;;;;;;;;;;;;
1.1.1.1.5 - Lei 7.976/89;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.6 - Parc.  FGTS até 31/03/96;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47.410.235,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.7 - Parc.  FGTS após 31/03/96;2009;0,00;57.065.511,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.8 - Parc.  INSS até 01/12/92;2009;0,00;0,00;0,00;65.198.598,00;0,00;9.122.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.9 - Parc.  INSS após 01/12/92;2009;44.154.135,59;291.679.682,91;5.653.010,92;0,00;115.867.816,29;102.203.000,00;11.411.236,00;435.615.745,35;1.030.554.312,00;72.753.120,00;0,00;19.165.803,67;113.196.619,36;312.613.725,89;51.894.176,88;0,00;173.026.574,00;160.014.001,40;95.876.170,00;42.330.972,60;167.492.179,21;298.640.246,38;97.567.814,74;0,00;18.620.004,32;0,00;66.945.221,03;;;;;;;;;;;;;;
1.1.1.1.10 - Lei 8.727/93;2009;145.862.545,49;664.614.535,71;872.170.135,92;0,00;1.731.814.000,41;196.078.580,81;0,00;790.869.576,20;7.452.317.172,20;3.104.802.178,86;724.922.902,60;1.119.359.594,20;1.667.995.432,88;240.336.942,59;720.375.936,84;398.962.862,16;579.753.880,54;220.259.416,36;736.358.631,88;432.867.362,87;24.815.453,86;0,00;1.296.280.513,70;407.556.602,81;403.070.587,96;1.567.524.019,53;47.133.921,05;;;;;;;;;;;;;;
1.1.1.1.10.1 - Lei 8.727/93 GOVERNO IGPM;2009;10.374.643,25;40.499.222,17;48.367.032,99;0,00;161.255.991,10;34.160.601,09;0,00;17.265.834,23;1.728.006.636,47;719.069.350,76;224.223.824,65;32.028.559,62;70.085.234,12;49.017.303,44;73.899.152,29;80.061.291,48;111.336.116,50;45.363.422,43;9.579.346,22;113.080.148,05;1.191.782,76;0,00;264.592.475,77;163.221.633,97;182.049,80;38.201.193,85;0,00;;;;;;;;;;;;;;
1.1.1.1.10.2 - Lei 8.727/93 GOVERNO TJLP;2009;688.315,88;1.254.641,42;10.893.769,80;0,00;15.013.538,29;1.203.302,41;0,00;11.743.685,01;931.742.947,82;0,00;5.908.709,50;156.643.546,79;477.028.615,03;1.227.398,55;5.626.154,53;3.424.267,12;9.462.186,62;4.172.894,92;46.663.526,10;4.267.724,96;1.015.307,77;0,00;21.953.111,09;4.010.356,50;3.169.472,37;375.111.852,02;0,00;;;;;;;;;;;;;;
1.1.1.1.10.3 - Lei 8.727/93 GOVERNO TR;2009;134.799.586,36;211.236.551,30;402.736.930,37;0,00;1.081.232.373,10;160.714.677,31;0,00;95.879.683,85;4.792.567.587,91;1.971.279.369,75;494.790.368,45;603.325.337,93;884.550.123,58;182.202.390,72;265.190.057,03;315.477.303,56;274.093.110,22;128.396.411,49;341.287.801,05;136.435.708,74;22.608.363,33;0,00;1.007.363.443,96;124.705.310,05;147.462.573,08;927.285.242,72;47.133.921,05;;;;;;;;;;;;;;
1.1.1.1.10.4 - Lei 8.727/93 Outros;2009;0,00;411.624.120,82;410.172.402,76;0,00;474.312.097,92;0,00;0,00;665.980.373,11;0,00;414.453.458,35;0,00;327.362.149,86;236.331.460,15;7.889.849,88;375.660.572,99;0,00;184.862.467,20;42.326.687,52;338.827.958,51;179.083.781,12;0,00;0,00;2.371.482,88;115.619.302,29;252.256.492,71;226.925.730,94;0,00;;;;;;;;;;;;;;
1.1.1.1.11 - Lei 9.496/97;2009;287.381.408,22;5.306.442.190,27;474.551.645,44;63.044.302,00;4.259.967.671,86;830.172.628,09;1.042.560.413,75;1.043.456.886,42;3.590.869.235,69;1.393.453.110,55;48.758.623.932,43;4.755.902.939,42;2.485.414.608,32;805.268.488,12;643.696.589,86;2.518.358.904,52;733.730.111,13;9.153.317.965,00;36.975.971.166,87;263.744.449,46;1.467.933.517,47;92.438.161,48;33.759.526.400,70;9.436.874.027,04;751.993.450,40;145.469.206.120,61;0,00;;;;;;;;;;;;;;
1.1.1.1.11.1 - Principal;2009;30.564.991,85;3.060.156.129,02;13.713.943,22;0,00;1.274.189.213,42;0,00;1.042.560.413,75;489.193.933,28;3.152.078.437,10;514.402.980,00;34.181.136.431,10;4.755.902.939,42;1.952.192.673,01;530.430.206,45;488.946.993,99;2.518.358.904,52;453.291.700,16;852.443.325,00;36.975.971.166,87;46.983.903,22;250.573.788,28;11.096.855,39;25.639.003.210,56;4.396.148.892,41;664.930.381,02;145.469.206.120,61;0,00;;;;;;;;;;;;;;
1.1.1.1.11.4 - PROES Extralimite;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;554.262.953,14;0,00;0,00;97.244.205,75;0,00;0,00;274.838.281,67;0,00;0,00;0,00;0,00;0,00;216.760.546,24;0,00;0,00;1.499.570.488,50;0,00;87.063.069,38;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.5 - PROES Intralimite;2009;256.816.416,37;1.358.286.470,00;460.837.702,22;63.044.302,00;2.985.778.458,44;830.172.628,09;0,00;0,00;438.790.798,59;879.050.130,55;14.480.243.295,58;0,00;533.221.935,31;0,00;154.749.595,87;0,00;280.438.410,97;8.300.874.640,00;0,00;0,00;1.217.359.729,19;81.341.306,09;6.620.952.701,64;5.040.725.134,63;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.6 - Precatórios;2009;0,00;887.999.591,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.11.7  - Conta Gráfica Estoque;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.12 - CEF/VOTO 162;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;118.615.621,84;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.13 - CEF (outras);2009;61.431.247,95;0,00;195.765.148,44;18.982.012,00;515.064.745,71;77.033.000,00;275.747.284,00;34.397.966,20;0,00;13.714.798,92;32.853.931,01;21.724.956,92;2.960.831,42;276.816.926,45;163.229.350,18;478.022.957,44;87.681.502,48;74.115.728,73;24.715.226,25;208.259.691,62;19.066.951,24;4.984.724,67;26.973.195,64;18.417.171,78;104.198.523,58;69.078.580,72;52.226.464,20;;;;;;;;;;;;;;
1.1.1.1.14 - Parcelamento - PIS/PASEP;2009;0,00;31.155.179,81;494.095,16;0,00;200.169.382,31;47.500.000,00;10.896.106,00;0,00;17.849.825,00;0,00;0,00;0,00;3.938.734,85;15.032.276,96;55.846.893,65;0,00;0,00;989.107.002,82;315.784.838,60;854.257,94;6.942.862,94;4.572.002,82;0,00;68.627.385,40;19.436.485,70;0,00;9.829.132,86;;;;;;;;;;;;;;
1.1.1.1.15 - B.Brasil;2009;138.653.552,95;0,00;0,00;0,00;153.977.073,18;2.585.000,00;428.594,00;0,00;0,00;0,00;276.352.948,54;0,00;92.316.000,00;270.317.256,25;0,00;0,00;70.053.218,00;0,00;152.770.000,00;167.116.000,00;0,00;99.228.000,00;0,00;51.192.000,00;0,00;28.491.808,77;0,00;;;;;;;;;;;;;;
1.1.1.1.16 - BNDES;2009;452.126.543,01;124.826.837,37;649.303.498,97;136.480.000,00;218.248.772,69;564.081.000,00;169.998.759,00;355.699.054,30;0,00;293.255.830,00;41.984.227,38;7.903.664,23;3.281.417,75;257.463.371,43;194.326.524,69;599.353.130,57;511.101.518,62;36.146.373,45;990.087.407,44;88.746.687,62;5.968.731,07;0,00;704.850,56;877.965.913,78;169.684.821,94;1.734.884.098,00;173.600.000,00;;;;;;;;;;;;;;
1.1.1.1.17 - Outros Bancos Federais;2009;0,00;5.830.771,57;0,00;0,00;173.082.069,54;155.913.000,00;0,00;0,00;0,00;29.784.570,00;21.200.165,46;0,00;0,00;12.709.383,88;21.628.502,75;94.130.788,46;15.456.523,23;0,00;0,00;40.024.044,85;0,00;0,00;0,00;0,00;36.759.890,66;0,00;0,00;;;;;;;;;;;;;;
1.1.1.1.18 - Demais Dívidas com a União;2009;0,00;13.331.388,72;0,00;0,00;0,00;15.160.000,00;10.171.254,00;0,00;15.933.633,00;392.530,00;0,00;0,00;19.611.865,16;28.526.772,45;14.707.732,00;0,00;101.591,00;0,00;0,00;0,00;0,00;50.767.064,81;0,00;0,00;10.198.952,45;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2 - Outras Dívidas Contratuais;2009;0,00;0,00;0,00;114.110.179,00;0,00;0,00;0,00;246.180.778,44;0,00;118.506.990,00;4.332.754.764,48;0,00;887.839,50;2.502.404,16;0,00;0,00;0,00;2.600.742.256,58;0,00;0,00;36.026.755,89;7.950.303,23;0,00;0,00;40.745.141,83;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.1 - Bancos Estaduais;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.676.752,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.2 - Bancos Privados;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.346.167.448,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.1.2.3 - Demais;2009;0,00;0,00;0,00;114.110.179,00;0,00;0,00;0,00;246.180.778,44;0,00;118.506.990,00;4.329.078.011,79;0,00;887.839,50;2.502.404,16;0,00;0,00;0,00;1.254.574.808,21;0,00;0,00;36.026.755,89;7.950.303,23;0,00;0,00;40.745.141,83;0,00;0,00;;;;;;;;;;;;;;
1.1.2 - Mobiliária Interna;2009;0,00;112.200.472,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.1.2.1 - Principal;2009;0,00;112.200.472,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2 - Fundada Externa;2009;109.270.094,00;209.795.011,50;386.679.442,95;8.906.626,15;2.041.427.194,76;1.153.029.000,00;372.522.937,00;244.603.072,54;83.723.946,00;78.969.500,00;1.847.005.558,29;75.861.271,44;20.717.121,37;292.973.900,99;43.745.746,00;474.254.058,08;75.432.988,44;828.715.064,03;1.321.334.965,14;58.044.930,50;26.662.125,00;0,00;1.660.815.360,03;343.079.061,39;41.173.308,75;2.701.244.563,15;426.723.392,99;;;;;;;;;;;;;;
1.2.1 - Contratual;2009;109.270.094,00;209.795.011,50;386.679.442,95;8.906.626,15;2.041.427.194,76;1.153.029.000,00;372.522.937,00;244.603.072,54;83.723.946,00;78.969.500,00;1.847.005.558,29;75.861.271,44;20.717.121,37;292.973.900,99;43.745.746,00;474.254.058,08;75.432.988,44;828.715.064,03;1.318.647.697,37;58.044.930,50;26.662.125,00;0,00;1.660.815.360,03;343.079.061,39;41.173.308,75;2.701.244.563,15;426.723.392,99;;;;;;;;;;;;;;
1.2.1.1 - Sem aval do Tesouro Nacional;2009;0,00;0,00;0,00;0,00;0,00;10.431.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.1.2 - Com aval do TN até 30/09/91;2009;0,00;0,00;75.360,91;0,00;0,00;19.871.000,00;53.599.518,00;625.604,94;4.998.352,00;0,00;117.336.839,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.453.013,59;0,00;23.656.035,02;0,00;;;;;;;;;;;;;;
1.2.1.3 - Com aval do TN após 30/09/91;2009;109.270.094,00;209.795.011,50;386.604.082,04;8.906.626,15;2.041.427.194,76;1.122.727.000,00;318.923.419,00;243.977.467,60;78.725.594,00;78.969.500,00;1.729.668.719,05;75.861.271,44;20.717.121,37;292.973.900,99;43.745.746,00;474.254.058,08;75.432.988,44;828.715.064,03;1.318.647.697,37;58.044.930,50;26.662.125,00;0,00;1.660.815.360,03;339.626.047,80;41.173.308,75;2.677.588.528,13;426.723.392,99;;;;;;;;;;;;;;
1.2.2 - Mobiliária Externa;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.687.267,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
1.2.2.1 - Principal;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.687.267,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2 - Flutuante;2009;0,00;0,00;0,00;93.781.963,00;0,00;1.032.487.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;450.462.983,52;0,00;952.939.799,37;49.482.285,70;0,00;0,00;0,00;0,00;0,00;0,00;34.876.641,21;;;;;;;;;;;;;;
2.1 - Empreiteiros;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.2 - Fornecedores;2009;0,00;0,00;0,00;93.781.963,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;132.985.819,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.3 - Autofinanciamentos;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.4 - Folha de Pagamentos;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.5 - AROs;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.6 - INSS;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.7 - FGTS;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
2.8 - PIS/PASEP e Inst. de Pensão;2009;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;;;;
